Date,N1,N2,N3,N4,N5,E1,E2,Winner,Gain,estGagnant
2004-01-10,33,36,44,2,11,4,6,0,29785269,False
2004-01-10,48,20,45,21,12,6,5,1,29785269,True
2004-01-10,6,24,48,46,4,1,10,0,29785269,False
2004-01-10,49,18,36,13,43,9,4,0,29785269,False
2004-01-10,2,15,20,34,5,10,7,0,29785269,False
2004-02-13,14,38,31,19,48,10,2,0,15000000,False
2004-02-13,23,35,40,31,28,4,11,0,15000000,False
2004-02-13,19,41,9,40,21,5,8,0,15000000,False
2004-02-13,32,16,29,41,36,9,7,1,15000000,True
2004-02-13,14,1,18,24,27,10,5,0,15000000,False
2004-04-06,4,35,9,38,25,10,5,0,12488171,False
2004-04-06,47,20,22,39,48,8,6,0,12488171,False
2004-04-06,34,3,21,13,48,5,4,0,12488171,False
2004-04-06,41,42,34,13,9,7,3,1,12488171,True
2004-04-06,46,22,28,15,8,6,8,0,12488171,False
2004-05-03,39,37,4,7,33,5,1,1,20678070,True
2004-05-03,24,5,36,44,7,11,5,0,20678070,False
2004-05-03,48,5,31,21,23,11,10,0,20678070,False
2004-05-03,43,22,17,35,45,11,5,0,20678070,False
2004-05-03,12,36,6,22,46,5,1,0,20678070,False
2004-05-14,32,3,1,39,21,2,6,1,33816137,True
2004-05-14,34,44,8,32,6,1,8,0,33816137,False
2004-05-14,25,9,2,29,3,4,9,0,33816137,False
2004-05-14,45,7,44,24,30,6,7,0,33816137,False
2004-05-14,46,45,2,37,49,7,5,0,33816137,False
2004-05-21,12,6,46,4,34,2,9,0,10000000,False
2004-05-21,10,49,22,2,16,3,2,0,10000000,False
2004-05-21,25,47,34,10,23,3,8,0,10000000,False
2004-05-21,37,39,29,15,49,4,9,1,10000000,True
2004-05-21,3,23,29,37,5,8,9,0,10000000,False
2004-06-08,5,35,44,15,24,6,5,1,24746858,True
2004-06-08,40,2,16,32,18,1,5,0,24746858,False
2004-06-08,38,28,1,5,12,3,11,0,24746858,False
2004-06-08,33,14,21,45,10,8,5,0,24746858,False
2004-06-08,19,6,28,8,29,5,8,0,24746858,False
2004-06-18,28,2,40,23,43,6,2,1,12286876,True
2004-06-18,24,39,45,10,20,2,7,0,12286876,False
2004-06-18,22,5,9,13,44,11,7,0,12286876,False
2004-06-18,19,36,4,1,40,3,2,0,12286876,False
2004-06-18,5,26,38,39,31,9,6,0,12286876,False
2004-09-04,10,1,3,20,33,11,6,0,25556285,False
2004-09-04,38,34,9,25,2,6,7,0,25556285,False
2004-09-04,23,19,10,1,4,2,8,1,25556285,True
2004-09-04,10,34,16,3,22,1,2,0,25556285,False
2004-09-04,7,10,33,36,22,2,7,0,25556285,False
2004-10-22,5,36,17,10,39,2,1,0,25059130,False
2004-10-22,25,24,28,37,5,10,1,0,25059130,False
2004-10-22,46,26,3,34,10,6,11,0,25059130,False
2004-10-22,32,27,7,47,24,9,5,0,25059130,False
2004-10-22,9,25,1,40,23,3,9,1,25059130,True
2004-11-26,20,44,26,49,28,7,2,0,43756502,False
2004-11-26,42,45,20,37,48,1,7,0,43756502,False
2004-11-26,42,2,20,27,29,7,2,0,43756502,False
2004-11-26,35,31,48,33,20,11,5,0,43756502,False
2004-11-26,24,1,34,4,36,8,6,1,43756502,True
2004-12-17,29,40,36,48,5,3,10,0,26215627,False
2004-12-17,49,22,19,15,46,9,2,1,26215627,True
2004-12-17,20,2,7,38,1,9,8,0,26215627,False
2004-12-17,41,4,27,3,14,2,10,0,26215627,False
2004-12-17,19,46,41,27,39,4,5,0,26215627,False
2004-12-24,49,8,44,41,11,10,2,0,10000000,False
2004-12-24,21,9,41,49,45,11,5,0,10000000,False
2004-12-24,3,27,29,4,37,6,5,1,10000000,True
2004-12-24,21,6,1,23,13,6,10,0,10000000,False
2004-12-24,12,31,27,18,26,11,10,0,10000000,False
2005-01-14,46,25,17,19,5,3,8,0,26007362,False
2005-01-14,28,39,23,6,9,10,3,0,26007362,False
2005-01-14,8,1,48,3,7,10,4,0,26007362,False
2005-01-14,44,32,22,40,8,1,3,0,26007362,False
2005-01-14,11,14,29,6,19,3,1,2,26007362,True
2005-02-18,37,4,10,14,48,9,10,0,10000000,False
2005-02-18,36,24,23,38,11,5,9,0,10000000,False
2005-02-18,10,19,33,1,27,7,10,0,10000000,False
